1508.055000,1.8590E-006,1508.055000,1.4170E-006,1508.055000,1.1300E-006,1508.055000,9.2640E-007,1508.055000,7.8390E-007,1508.055000,4.2680E-007,1508.055000,2.5080E-007,1508.055000,2.5850E-007,1508.055000,6.4570E-007,1508.055000,-1.1930E-007
1508.070000,1.6940E-006,1508.070000,1.8080E-006,1508.070000,3.5870E-007,1508.070000,8.3200E-007,1508.070000,6.3660E-007,1508.070000,1.5020E-008,1508.070000,1.6800E-007,1508.070000,1.7430E-007,1508.070000,-3.0540E-007,1508.070000,4.4440E-008
1508.085000,1.7090E-006,1508.085000,1.7680E-006,1508.085000,8.3800E-007,1508.085000,5.2720E-007,1508.085000,3.9520E-007,1508.085000,5.0190E-007,1508.085000,3.1560E-007,1508.085000,7.6560E-007,1508.085000,5.0110E-007,1508.085000,3.2880E-007
1508.100000,1.8340E-006,1508.100000,1.6370E-006,1508.100000,7.6690E-007,1508.100000,9.2390E-007,1508.100000,6.4490E-007,1508.100000,3.0040E-007,1508.100000,4.5710E-007,1508.100000,7.4070E-008,1508.100000,7.4490E-008,1508.100000,8.2750E-008
1508.115000,1.4520E-006,1508.115000,1.5220E-006,1508.115000,6.0880E-007,1508.115000,8.1190E-007,1508.115000,4.5520E-007,1508.115000,3.3200E-007,1508.115000,3.9210E-007,1508.115000,4.7760E-007,1508.115000,-3.7660E-008,1508.115000,-1.6800E-007
1508.130000,2.0850E-006,1508.130000,1.8790E-006,1508.130000,4.6310E-007,1508.130000,8.4280E-007,1508.130000,7.6480E-007,1508.130000,7.1060E-007,1508.130000,2.9980E-007,1508.130000,-1.4870E-007,1508.130000,2.5290E-007,1508.130000,3.2740E-007
1508.145000,1.8500E-006,1508.145000,1.5280E-006,1508.145000,9.2560E-007,1508.145000,6.7020E-007,1508.145000,5.1480E-007,1508.145000,5.7700E-007,1508.145000,1.0070E-007,1508.145000,3.9500E-007,1508.145000,5.2260E-007,1508.145000,-3.8300E-008
1508.160000,1.4280E-006,1508.160000,1.7020E-006,1508.160000,7.1540E-007,1508.160000,8.7980E-007,1508.160000,8.3830E-007,1508.160000,6.2000E-007,1508.160000,9.8100E-007,1508.160000,-1.2690E-009,1508.160000,2.3090E-007,1508.160000,6.9840E-007
1508.175000,2.1740E-006,1508.175000,1.6080E-006,1508.175000,5.4980E-007,1508.175000,8.4570E-007,1508.175000,6.2510E-007,1508.175000,9.6500E-008,1508.175000,1.7710E-007,1508.175000,8.5490E-008,1508.175000,4.8670E-009,1508.175000,-4.0060E-007
1508.190000,1.6060E-006,1508.190000,1.5880E-006,1508.190000,5.5540E-007,1508.190000,4.8700E-007,1508.190000,7.6250E-007,1508.190000,5.9380E-007,1508.190000,3.8240E-007,1508.190000,7.4760E-007,1508.190000,1.5380E-007,1508.190000,1.5850E-007
1508.205000,1.8100E-006,1508.205000,1.5300E-006,1508.205000,6.7100E-007,1508.205000,1.0270E-006,1508.205000,7.1670E-007,1508.205000,6.4780E-007,1508.205000,3.8920E-007,1508.205000,3.2140E-007,1508.205000,-2.1820E-007,1508.205000,-1.8360E-007
1508.220000,1.7880E-006,1508.220000,1.6220E-006,1508.220000,8.2770E-007,1508.220000,7.7540E-007,1508.220000,1.6460E-007,1508.220000,4.6500E-007,1508.220000,2.0890E-007,1508.220000,3.7370E-007,1508.220000,9.1000E-009,1508.220000,3.5330E-007
1508.235000,1.8930E-006,1508.235000,1.5880E-006,1508.235000,1.1240E-006,1508.235000,1.1070E-006,1508.235000,1.0400E-006,1508.235000,4.8450E-008,1508.235000,3.5770E-007,1508.235000,1.3920E-007,1508.235000,1.5700E-007,1508.235000,-8.3370E-008
1508.250000,1.9390E-006,1508.250000,1.4610E-006,1508.250000,5.6850E-007,1508.250000,3.8920E-007,1508.250000,4.5730E-007,1508.250000,7.9650E-007,1508.250000,1.8450E-007,1508.250000,-2.4790E-007,1508.250000,2.6370E-007,1508.250000,1.8260E-007
1508.265000,1.7650E-006,1508.265000,1.5560E-006,1508.265000,5.3240E-007,1508.265000,8.1090E-007,1508.265000,5.4730E-007,1508.265000,1.7750E-007,1508.265000,7.3840E-007,1508.265000,2.8750E-007,1508.265000,2.2280E-007,1508.265000,9.6920E-008
1508.280000,1.9870E-006,1508.280000,2.0310E-006,1508.280000,7.0810E-007,1508.280000,4.4590E-007,1508.280000,6.3370E-007,1508.280000,4.4320E-007,1508.280000,3.3800E-007,1508.280000,-6.8550E-008,1508.280000,8.2230E-007,1508.280000,-8.5710E-008
1508.295000,1.9440E-006,1508.295000,1.3630E-006,1508.295000,6.9720E-007,1508.295000,8.3970E-007,1508.295000,6.7790E-007,1508.295000,3.7370E-007,1508.295000,4.1290E-007,1508.295000,5.7560E-007,1508.295000,2.7950E-007,1508.295000,5.5730E-007
1508.310000,1.5670E-006,1508.310000,1.6630E-006,1508.310000,1.0810E-006,1508.310000,1.0730E-006,1508.310000,5.7040E-007,1508.310000,4.2490E-007,1508.310000,5.8680E-007,1508.310000,1.4640E-007,1508.310000,1.1870E-007,1508.310000,-1.7540E-007
1508.325000,1.9800E-006,1508.325000,1.1670E-006,1508.325000,7.2250E-007,1508.325000,5.8800E-007,1508.325000,1.0250E-006,1508.325000,2.4540E-008,1508.325000,2.0140E-007,1508.325000,4.2700E-007,1508.325000,3.5890E-007,1508.325000,5.4190E-007
1508.340000,1.6150E-006,1508.340000,1.9720E-006,1508.340000,5.0690E-007,1508.340000,1.0930E-006,1508.340000,8.1650E-007,1508.340000,6.2470E-007,1508.340000,2.3690E-007,1508.340000,6.3300E-007,1508.340000,3.0890E-008,1508.340000,-7.9570E-008
1508.355000,1.6530E-006,1508.355000,1.7000E-006,1508.355000,8.7910E-007,1508.355000,2.4940E-007,1508.355000,8.1380E-007,1508.355000,6.1790E-008,1508.355000,5.7330E-007,1508.355000,4.7820E-008,1508.355000,1.4280E-007,1508.355000,3.4770E-007
1508.370000,1.5900E-006,1508.370000,1.3560E-006,1508.370000,7.2370E-007,1508.370000,1.4750E-006,1508.370000,2.9290E-007,1508.370000,8.4900E-007,1508.370000,4.6520E-007,1508.370000,2.9540E-007,1508.370000,2.4630E-007,1508.370000,1.1470E-007
1508.385000,2.0090E-006,1508.385000,1.5230E-006,1508.385000,9.9010E-007,1508.385000,4.9980E-007,1508.385000,7.5900E-007,1508.385000,3.2660E-007,1508.385000,2.2860E-007,1508.385000,2.8150E-007,1508.385000,2.6820E-007,1508.385000,2.3960E-007
1508.400000,1.7900E-006,1508.400000,1.5660E-006,1508.400000,4.5960E-007,1508.400000,1.0910E-006,1508.400000,4.6330E-007,1508.400000,1.7730E-007,1508.400000,2.6330E-007,1508.400000,5.5040E-007,1508.400000,-1.8240E-007,1508.400000,1.1550E-007
1508.415000,1.5310E-006,1508.415000,1.8010E-006,1508.415000,8.9470E-007,1508.415000,2.4270E-007,1508.415000,1.0540E-006,1508.415000,5.4070E-007,1508.415000,9.8790E-007,1508.415000,1.9260E-008,1508.415000,4.5270E-007,1508.415000,4.1540E-007
1508.430000,1.8750E-006,1508.430000,1.2360E-006,1508.430000,8.4800E-007,1508.430000,1.1700E-006,1508.430000,3.7740E-007,1508.430000,5.6020E-007,1508.430000,-2.1990E-008,1508.430000,2.7780E-007,1508.430000,8.6540E-008,1508.430000,2.3280E-007
1508.445000,1.3110E-006,1508.445000,2.1200E-006,1508.445000,6.8570E-007,1508.445000,7.5030E-007,1508.445000,6.5380E-007,1508.445000,5.4860E-007,1508.445000,6.3320E-007,1508.445000,3.5270E-007,1508.445000,5.9320E-007,1508.445000,-1.2480E-008
1508.460000,1.7500E-006,1508.460000,1.5620E-006,1508.460000,7.5190E-007,1508.460000,7.7890E-007,1508.460000,6.1190E-007,1508.460000,-2.2780E-007,1508.460000,8.7830E-008,1508.460000,-1.0000E-007,1508.460000,2.0950E-007,1508.460000,6.5650E-007
1508.475000,1.7620E-006,1508.475000,1.3620E-006,1508.475000,1.0220E-006,1508.475000,7.6440E-007,1508.475000,7.4820E-007,1508.475000,9.0360E-007,1508.475000,3.0890E-008,1508.475000,5.1950E-007,1508.475000,4.4210E-007,1508.475000,-8.8040E-008
1508.490000,1.9390E-006,1508.490000,1.7120E-006,1508.490000,3.8050E-007,1508.490000,6.3340E-007,1508.490000,6.2080E-007,1508.490000,6.0940E-008,1508.490000,2.3610E-007,1508.490000,-2.8780E-007,1508.490000,2.7550E-007,1508.490000,5.2910E-009
1508.505000,2.2920E-006,1508.505000,1.9220E-006,1508.505000,1.0020E-006,1508.505000,8.3740E-007,1508.505000,2.0750E-007,1508.505000,3.3280E-007,1508.505000,4.2700E-007,1508.505000,5.0580E-007,1508.505000,3.6140E-007,1508.505000,8.1250E-008
1508.520000,1.0520E-006,1508.520000,1.7040E-006,1508.520000,6.7830E-007,1508.520000,6.0090E-007,1508.520000,7.2580E-007,1508.520000,3.1950E-007,1508.520000,-2.4540E-008,1508.520000,5.3720E-007,1508.520000,2.8010E-007,1508.520000,2.0610E-007
1508.535000,1.8640E-006,1508.535000,1.6740E-006,1508.535000,7.7700E-007,1508.535000,8.9100E-007,1508.535000,9.1980E-007,1508.535000,4.9070E-007,1508.535000,2.3710E-007,1508.535000,3.2260E-007,1508.535000,2.0310E-007,1508.535000,2.0870E-007
1508.550000,2.2840E-006,1508.550000,1.8160E-006,1508.550000,1.2150E-006,1508.550000,5.4380E-007,1508.550000,5.5040E-007,1508.550000,1.5000E-007,1508.550000,3.1800E-007,1508.550000,2.1330E-007,1508.550000,3.8030E-007,1508.550000,5.5380E-007
1508.565000,1.0640E-006,1508.565000,1.4020E-006,1508.565000,6.8660E-007,1508.565000,6.9800E-007,1508.565000,8.7930E-007,1508.565000,5.7350E-008,1508.565000,9.7560E-008,1508.565000,3.1700E-007,1508.565000,2.9420E-007,1508.565000,1.7840E-007
1508.580000,2.0710E-006,1508.580000,1.8100E-006,1508.580000,6.1150E-007,1508.580000,8.0960E-007,1508.580000,6.7720E-008,1508.580000,6.0250E-007,1508.580000,5.8470E-007,1508.580000,3.3010E-008,1508.580000,3.0460E-007,1508.580000,1.7990E-008
1508.595000,1.7050E-006,1508.595000,1.6120E-006,1508.595000,6.2510E-007,1508.595000,5.3650E-007,1508.595000,4.8780E-007,1508.595000,3.5710E-007,1508.595000,1.6290E-007,1508.595000,5.8220E-007,1508.595000,2.0000E-007,1508.595000,-5.2470E-008
1508.610000,1.7940E-006,1508.610000,1.5330E-006,1508.610000,8.4030E-007,1508.610000,7.6150E-007,1508.610000,1.0280E-006,1508.610000,6.3030E-007,1508.610000,4.0500E-007,1508.610000,3.4670E-007,1508.610000,7.0840E-007,1508.610000,3.2070E-007
1508.625000,2.2220E-006,1508.625000,1.6750E-006,1508.625000,6.9090E-007,1508.625000,1.1600E-006,1508.625000,5.3470E-007,1508.625000,2.6200E-007,1508.625000,5.0540E-007,1508.625000,-7.0250E-008,1508.625000,2.8300E-007,1508.625000,-2.2740E-007
1508.640000,1.9150E-006,1508.640000,2.0340E-006,1508.640000,8.8270E-007,1508.640000,9.9280E-007,1508.640000,8.5590E-007,1508.640000,4.9940E-008,1508.640000,3.8760E-007,1508.640000,6.6830E-007,1508.640000,3.5080E-007,1508.640000,-3.5150E-007
1508.655000,1.9370E-006,1508.655000,1.8230E-006,1508.655000,1.1180E-006,1508.655000,7.3800E-007,1508.655000,3.1310E-007,1508.655000,1.6080E-008,1508.655000,5.6890E-007,1508.655000,-1.3030E-007,1508.655000,-2.0020E-007,1508.655000,7.2850E-007
1508.670000,1.8330E-006,1508.670000,1.5810E-006,1508.670000,2.2380E-007,1508.670000,6.5730E-007,1508.670000,8.6250E-007,1508.670000,6.2220E-007,1508.670000,2.2380E-007,1508.670000,1.9360E-007,1508.670000,1.2590E-007,1508.670000,-2.7880E-007
1508.685000,1.8040E-006,1508.685000,1.6960E-006,1508.685000,7.1850E-007,1508.685000,7.3900E-007,1508.685000,7.2300E-007,1508.685000,5.2310E-007,1508.685000,2.5970E-007,1508.685000,8.3200E-008,1508.685000,6.0030E-007,1508.685000,2.1440E-007
1508.700000,2.1190E-006,1508.700000,1.7500E-006,1508.700000,1.1990E-006,1508.700000,1.0740E-006,1508.700000,8.0980E-007,1508.700000,3.6620E-008,1508.700000,3.8590E-007,1508.700000,3.9440E-007,1508.700000,-5.1440E-008,1508.700000,4.1620E-007
1508.715000,2.3160E-006,1508.715000,1.3190E-006,1508.715000,5.4590E-007,1508.715000,5.9640E-007,1508.715000,7.4030E-007,1508.715000,4.0640E-007,1508.715000,2.5180E-008,1508.715000,-1.0840E-007,1508.715000,5.0980E-007,1508.715000,1.4990E-007
1508.730000,2.0110E-006,1508.730000,1.8440E-006,1508.730000,1.2650E-006,1508.730000,6.3540E-007,1508.730000,7.0790E-007,1508.730000,3.0640E-007,1508.730000,5.5420E-007,1508.730000,1.3950E-007,1508.730000,2.9270E-007,1508.730000,-3.0470E-008
1508.745000,1.7130E-006,1508.745000,1.9250E-006,1508.745000,8.7330E-007,1508.745000,8.7480E-007,1508.745000,3.1450E-007,1508.745000,2.7250E-007,1508.745000,2.4760E-007,1508.745000,2.4800E-007,1508.745000,5.3450E-007,1508.745000,-1.9690E-008
1508.760000,2.4300E-006,1508.760000,1.8030E-006,1508.760000,7.3570E-007,1508.760000,7.9490E-007,1508.760000,6.8000E-007,1508.760000,5.8140E-007,1508.760000,3.0780E-007,1508.760000,1.5070E-007,1508.760000,2.1090E-007,1508.760000,5.1270E-007
1508.775000,1.7190E-006,1508.775000,1.8860E-006,1508.775000,9.5140E-007,1508.775000,3.8920E-007,1508.775000,5.9410E-007,1508.775000,3.6970E-007,1508.775000,3.7160E-007,1508.775000,1.1850E-007,1508.775000,-6.7760E-009,1508.775000,2.3290E-008
1508.790000,1.8160E-006,1508.790000,1.6870E-006,1508.790000,1.0220E-006,1508.790000,5.3330E-007,1508.790000,7.8780E-007,1508.790000,5.3140E-007,1508.790000,7.1060E-007,1508.790000,1.2490E-007,1508.790000,2.4120E-007,1508.790000,6.7760E-009
1508.805000,2.0430E-006,1508.805000,1.5130E-006,1508.805000,4.5580E-007,1508.805000,1.2850E-006,1508.805000,6.8320E-007,1508.805000,4.5940E-007,1508.805000,2.7940E-007,1508.805000,7.8030E-007,1508.805000,4.0790E-007,1508.805000,4.0120E-007
1508.820000,2.1340E-006,1508.820000,2.1440E-006,1508.820000,6.8940E-007,1508.820000,6.7860E-007,1508.820000,5.3120E-007,1508.820000,7.1060E-007,1508.820000,6.3290E-007,1508.820000,-1.4010E-007,1508.820000,-4.9960E-008,1508.820000,2.3830E-007
1508.835000,1.7390E-006,1508.835000,1.8810E-006,1508.835000,7.6450E-007,1508.835000,5.4410E-007,1508.835000,5.3160E-007,1508.835000,3.1610E-007,1508.835000,4.5130E-007,1508.835000,3.6470E-007,1508.835000,2.5530E-007,1508.835000,4.5290E-008
1508.850000,1.5740E-006,1508.850000,1.9050E-006,1508.850000,9.2730E-007,1508.850000,6.4770E-007,1508.850000,6.6340E-007,1508.850000,5.2660E-007,1508.850000,3.6860E-007,1508.850000,-9.5280E-009,1508.850000,9.8230E-008,1508.850000,2.9810E-007
1508.865000,1.6260E-006,1508.865000,1.5180E-006,1508.865000,1.1610E-006,1508.865000,1.0500E-006,1508.865000,5.5440E-007,1508.865000,1.2170E-007,1508.865000,1.4840E-007,1508.865000,3.2570E-007,1508.865000,2.1790E-007,1508.865000,-1.1410E-007
1508.880000,1.9180E-006,1508.880000,1.4630E-006,1508.880000,7.0620E-007,1508.880000,5.5940E-007,1508.880000,1.6810E-007,1508.880000,4.8100E-007,1508.880000,5.1480E-007,1508.880000,-1.6300E-008,1508.880000,1.7020E-007,1508.880000,2.4840E-007
1508.895000,1.6620E-006,1508.895000,2.3180E-006,1508.895000,7.5480E-007,1508.895000,9.9190E-007,1508.895000,9.5100E-007,1508.895000,3.9770E-007,1508.895000,9.1460E-008,1508.895000,1.4520E-007,1508.895000,-8.5960E-008,1508.895000,2.9370E-007
1508.910000,1.9360E-006,1508.910000,1.6340E-006,1508.910000,8.7250E-007,1508.910000,7.6040E-007,1508.910000,5.8830E-007,1508.910000,9.1130E-007,1508.910000,7.5210E-007,1508.910000,6.7320E-008,1508.910000,2.2040E-007,1508.910000,-1.9620E-007
1508.925000,1.7740E-006,1508.925000,1.8240E-006,1508.925000,9.5860E-007,1508.925000,9.7770E-007,1508.925000,9.1730E-007,1508.925000,3.2170E-008,1508.925000,2.8230E-007,1508.925000,5.5260E-007,1508.925000,3.0910E-007,1508.925000,1.3990E-007
1508.940000,2.2710E-006,1508.940000,1.8490E-006,1508.940000,6.4770E-007,1508.940000,6.8360E-007,1508.940000,8.4700E-007,1508.940000,5.3160E-007,1508.940000,6.1650E-007,1508.940000,4.5730E-008,1508.940000,-5.8640E-008,1508.940000,2.2080E-007
1508.955000,1.7830E-006,1508.955000,1.7830E-006,1508.955000,9.8750E-007,1508.955000,1.1430E-006,1508.955000,3.6970E-007,1508.955000,5.1980E-007,1508.955000,-5.1870E-008,1508.955000,3.2980E-007,1508.955000,6.3460E-007,1508.955000,4.8820E-007
1508.970000,1.9080E-006,1508.970000,2.0260E-006,1508.970000,9.7550E-007,1508.970000,8.8290E-007,1508.970000,6.7400E-007,1508.970000,3.7630E-007,1508.970000,2.9040E-007,1508.970000,-6.9020E-008,1508.970000,3.5120E-007,1508.970000,6.7320E-008
1508.985000,2.0390E-006,1508.985000,1.4470E-006,1508.985000,6.2750E-007,1508.985000,9.0450E-007,1508.985000,6.2630E-007,1508.985000,4.6710E-007,1508.985000,3.6410E-007,1508.985000,1.4370E-007,1508.985000,2.3250E-007,1508.985000,4.4880E-008
1509.000000,2.2500E-006,1509.000000,1.8540E-006,1509.000000,9.6510E-007,1509.000000,3.6030E-007,1509.000000,1.2110E-006,1509.000000,2.4930E-007,1509.000000,4.0120E-007,1509.000000,3.1970E-007,1509.000000,5.0550E-007,1509.000000,7.4000E-007
1509.015000,2.0560E-006,1509.015000,1.9600E-006,1509.015000,5.1500E-007,1509.015000,8.8160E-007,1509.015000,6.7070E-007,1509.015000,9.0160E-007,1509.015000,3.1840E-007,1509.015000,2.6920E-007,1509.015000,-1.8650E-007,1509.015000,-1.2400E-007
1509.030000,2.1920E-006,1509.030000,1.8130E-006,1509.030000,1.1100E-006,1509.030000,6.9640E-007,1509.030000,6.7130E-007,1509.030000,6.3380E-007,1509.030000,2.0150E-007,1509.030000,-5.3140E-008,1509.030000,-1.4160E-007,1509.030000,1.3460E-007
1509.045000,1.9730E-006,1509.045000,2.0410E-006,1509.045000,1.0090E-006,1509.045000,9.9930E-007,1509.045000,1.7270E-007,1509.045000,3.0370E-007,1509.045000,4.7410E-007,1509.045000,3.2460E-007,1509.045000,1.8160E-007,1509.045000,1.1410E-007
1509.060000,2.0220E-006,1509.060000,2.4040E-006,1509.060000,7.6990E-007,1509.060000,6.1510E-007,1509.060000,4.9130E-007,1509.060000,2.7110E-007,1509.060000,6.0880E-007,1509.060000,3.5140E-007,1509.060000,4.7850E-007,1509.060000,1.4630E-007
1509.075000,2.2660E-006,1509.075000,1.6240E-006,1509.075000,9.6900E-007,1509.075000,1.2200E-006,1509.075000,6.0450E-007,1509.075000,3.6330E-007,1509.075000,-3.3230E-008,1509.075000,2.1400E-007,1509.075000,2.6030E-007,1509.075000,-1.0670E-007
1509.090000,1.7970E-006,1509.090000,2.0380E-006,1509.090000,7.5290E-007,1509.090000,6.8400E-007,1509.090000,8.6270E-007,1509.090000,7.4030E-007,1509.090000,3.9580E-007,1509.090000,3.1670E-007,1509.090000,3.3310E-007,1509.090000,5.5900E-007
1509.105000,2.0240E-006,1509.105000,2.0630E-006,1509.105000,7.7310E-007,1509.105000,8.0560E-007,1509.105000,6.0220E-007,1509.105000,4.3320E-007,1509.105000,1.2740E-007,1509.105000,-2.7940E-008,1509.105000,-6.6050E-008,1509.105000,-1.1010E-007
1509.120000,2.3120E-006,1509.120000,1.5710E-006,1509.120000,5.1150E-007,1509.120000,8.3720E-007,1509.120000,5.3390E-007,1509.120000,4.3320E-007,1509.120000,5.0730E-007,1509.120000,3.6060E-007,1509.120000,4.0730E-007,1509.120000,2.9600E-007
1509.135000,2.0530E-006,1509.135000,1.8710E-006,1509.135000,8.7810E-007,1509.135000,7.1220E-007,1509.135000,6.0700E-007,1509.135000,1.2400E-007,1509.135000,3.0160E-007,1509.135000,4.0540E-007,1509.135000,1.0620E-007,1509.135000,4.6580E-009
1509.150000,2.2850E-006,1509.150000,1.9890E-006,1509.150000,4.9320E-007,1509.150000,9.1260E-007,1509.150000,8.1890E-007,1509.150000,3.8670E-007,1509.150000,3.5760E-007,1509.150000,3.4620E-007,1509.150000,2.3990E-007,1509.150000,-4.7640E-008
1509.165000,2.5950E-006,1509.165000,2.1190E-006,1509.165000,1.3060E-006,1509.165000,5.2680E-007,1509.165000,9.6920E-007,1509.165000,5.5960E-007,1509.165000,4.1330E-007,1509.165000,1.3380E-007,1509.165000,1.5830E-007,1509.165000,5.5490E-007
1509.180000,1.9470E-006,1509.180000,1.7860E-006,1509.180000,5.0980E-007,1509.180000,6.8380E-007,1509.180000,1.0080E-006,1509.180000,3.0550E-007,1509.180000,-3.1110E-008,1509.180000,5.8290E-007,1509.180000,1.5200E-007,1509.180000,-2.1230E-007
1509.195000,2.4780E-006,1509.195000,1.6100E-006,1509.195000,1.3280E-006,1509.195000,5.6980E-007,1509.195000,2.6880E-007,1509.195000,2.7070E-007,1509.195000,3.6800E-007,1509.195000,7.3380E-007,1509.195000,6.7920E-007,1509.195000,3.8230E-007
1509.210000,2.3740E-006,1509.210000,1.6160E-006,1509.210000,5.4780E-007,1509.210000,9.1800E-007,1509.210000,1.1000E-006,1509.210000,5.7040E-007,1509.210000,3.0640E-007,1509.210000,2.8790E-007,1509.210000,-2.4200E-007,1509.210000,-1.5070E-007
1509.225000,2.3200E-006,1509.225000,1.6050E-006,1509.225000,9.8480E-007,1509.225000,8.3800E-007,1509.225000,6.0340E-007,1509.225000,2.7130E-007,1509.225000,1.0480E-006,1509.225000,8.0710E-007,1509.225000,4.3130E-007,1509.225000,-6.2670E-008
1509.240000,2.2420E-006,1509.240000,1.6560E-006,1509.240000,9.3790E-007,1509.240000,5.2580E-007,1509.240000,2.5160E-007,1509.240000,5.9910E-007,1509.240000,3.0990E-007,1509.240000,-2.0130E-007,1509.240000,-1.6960E-007,1509.240000,2.6920E-007
1509.255000,2.2150E-006,1509.255000,1.4900E-006,1509.255000,1.3140E-006,1509.255000,1.0360E-006,1509.255000,1.0540E-006,1509.255000,5.4340E-007,1509.255000,2.6210E-007,1509.255000,1.5730E-007,1509.255000,2.4950E-007,1509.255000,4.1910E-007
1509.270000,2.0900E-006,1509.270000,1.9420E-006,1509.270000,1.1390E-006,1509.270000,5.6320E-007,1509.270000,3.9190E-007,1509.270000,2.9040E-007,1509.270000,4.4710E-007,1509.270000,2.6550E-007,1509.270000,4.7140E-007,1509.270000,1.5640E-007
1509.285000,2.3450E-006,1509.285000,1.6670E-006,1509.285000,1.0280E-006,1509.285000,7.3710E-007,1509.285000,7.9630E-007,1509.285000,3.1670E-007,1509.285000,4.1220E-007,1509.285000,2.3120E-007,1509.285000,1.3340E-007,1509.285000,-1.1240E-007
1509.300000,2.2080E-006,1509.300000,1.8050E-006,1509.300000,6.4720E-007,1509.300000,9.3830E-007,1509.300000,6.4520E-007,1509.300000,3.2320E-007,1509.300000,1.3690E-007,1509.300000,2.1230E-007,1509.300000,4.6730E-007,1509.300000,5.2930E-007
1509.315000,2.1000E-006,1509.315000,2.1230E-006,1509.315000,1.0020E-006,1509.315000,4.3030E-007,1509.315000,1.0110E-006,1509.315000,5.3490E-007,1509.315000,4.0560E-007,1509.315000,4.0540E-007,1509.315000,5.0420E-007,1509.315000,6.9870E-008
1509.330000,1.7260E-006,1509.330000,1.7570E-006,1509.330000,6.5080E-007,1509.330000,1.0350E-006,1509.330000,6.2250E-007,1509.330000,9.1130E-007,1509.330000,3.2690E-007,1509.330000,-1.9900E-007,1509.330000,5.2930E-008,1509.330000,3.6950E-007
1509.345000,2.4570E-006,1509.345000,1.7260E-006,1509.345000,1.1220E-006,1509.345000,8.9240E-007,1509.345000,5.4200E-007,1509.345000,3.4950E-007,1509.345000,9.7480E-007,1509.345000,5.2480E-007,1509.345000,2.1710E-007,1509.345000,-1.9960E-007
1509.360000,1.9180E-006,1509.360000,2.3080E-006,1509.360000,5.9850E-007,1509.360000,9.2920E-007,1509.360000,8.2640E-007,1509.360000,2.4950E-007,1509.360000,-5.3560E-008,1509.360000,4.5730E-008,1509.360000,2.9520E-007,1509.360000,5.0110E-007
